date,title,url,domain,language,neg,neu,pos,compound,ticker
20200513T190000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://jerseyeveningpost.com/news/uk-news/2020/05/13/building-sites-allowed-to-stay-open-longer-says-communities-secretary/,jerseyeveningpost.com,English,0,1,0,0,CRST
20200513T191500Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.eveningtelegraph.co.uk/2020/05/13/building-sites-allowed-to-stay-open-longer-says-communities-secretary/,eveningtelegraph.co.uk,English,0,1,0,0,CRST
20200513T191500Z,"Housing market restarts , but could stutter",https://www.investorschronicle.co.uk/shares/2020/05/13/housing-market-restarts-but-could-stutter/,investorschronicle.co.uk,English,0.333,0.667,0,-0.3612,CRST
20200513T193000Z,FTSE closes sharply lower | 13 May 2020 | Stock Market Wire,https://www.stockmarketwire.com/article/6918419/FTSE-closes-sharply-lower.html,stockmarketwire.com,English,0.196,0.804,0,-0.296,CRST
20200513T200000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.pressandjournal.co.uk/business/uk-and-abroad/2202799/building-sites-allowed-to-stay-open-longer-says-communities-secretary/,pressandjournal.co.uk,English,0,1,0,0,CRST
20200513T204500Z,Government launches plan to kick - start U . K . housing industry,https://www.marketwatch.com/story/government-launches-plan-to-kick-start-uk-housing-industry-2020-05-13,marketwatch.com,English,0,1,0,0,CRST
20200513T221500Z,"Building sites in residential areas can open at night to allow social distancing , Government says",https://www.standard.co.uk/news/uk/building-sites-reopen-robert-jenrick-a4439986.html,standard.co.uk,English,0,0.881,0.119,0.2263,CRST
20200514T074500Z,Builders Persimmon and MJ Gleeson to reopen offices after restrictions ease,https://www.independent.ie/world-news/builders-persimmon-and-mj-gleeson-to-reopen-offices-after-restrictions-ease-39205585.html,independent.ie,English,0,0.8,0.2,0.3612,CRST
20200514T090000Z,Builders Persimmon and MJ Gleeson to reopen offices after restrictions ease,https://www.eveningexpress.co.uk/news/business/builders-persimmon-and-mj-gleeson-to-reopen-offices-after-restrictions-ease/,eveningexpress.co.uk,English,0,0.8,0.2,0.3612,CRST
20200514T093000Z,Builders Persimmon and MJ Gleeson to reopen offices after restrictions ease,https://www.aol.co.uk/news/2020/05/14/builders-persimmon-and-mj-gleeson-to-reopen-offices-after-restri/,aol.co.uk,English,0,0.8,0.2,0.3612,CRST
20200514T093000Z,Builders Persimmon and MJ Gleeson to reopen offices after restrictions ease,https://www.pressandjournal.co.uk/business/uk-and-abroad/2202961/builders-persimmon-and-mj-gleeson-to-reopen-offices-after-restrictions-ease/,pressandjournal.co.uk,English,0,0.8,0.2,0.3612,CRST
20200514T104500Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.expressandstar.com/news/uk-news/2020/05/13/building-sites-allowed-to-stay-open-longer-says-communities-secretary/,expressandstar.com,English,0,1,0,0,CRST
20200514T104500Z,Coronavirus united kingdom : Mortgage firms could pull deals even AFTER home buyers have exchanged,https://www.dailymail.co.uk/news/article-8318651/Coronavirus-UK-Mortgage-firms-pull-deals-home-buyers-exchanged.html,dailymail.co.uk,English,0,0.823,0.177,0.4215,CRST
20200514T113000Z,Persimmon reopening sales sites and show homes this Friday,https://www.dailymail.co.uk/money/markets/article-8318577/Persimmon-reopening-sales-sites-homes-Friday.html,dailymail.co.uk,English,0,1,0,0,CRST
20200514T143000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.shropshirestar.com/news/uk-news/2020/05/13/building-sites-allowed-to-stay-open-longer-says-communities-secretary/,shropshirestar.com,English,0,1,0,0,CRST
20200514T144500Z,Persimmon reopening sales sites and show homes this Friday,https://www.thisismoney.co.uk/money/markets/article-8318577/Persimmon-reopening-sales-sites-homes-Friday.html,thisismoney.co.uk,English,0,1,0,0,CRST
20200514T144500Z,Buyers are demanding big discounts as housing market bursts back into life following lockdown,https://www.thisismoney.co.uk/news/article-8317129/Buyers-demanding-big-discounts-housing-market-bursts-life-following-lockdown.html,thisismoney.co.uk,English,0.128,0.872,0,-0.2263,CRST
20200514T233000Z,Housebuilding to fall by a third as sites reopen with strict new rules,https://www.thisismoney.co.uk/money/article-8320719/Housebuilding-fall-sites-reopen-strict-new-rules.html,thisismoney.co.uk,English,0,1,0,0,CRST
20200515T010000Z,Housebuilding to fall by a third as sites reopen with strict new rules,https://www.dailymail.co.uk/money/article-8320719/Housebuilding-fall-sites-reopen-strict-new-rules.html,dailymail.co.uk,English,0,1,0,0,CRST
20200519T003000Z,Minor flooding across county after 3 to 4 . 5 inches of rain,https://journaltimes.com/news/local/minor-flooding-across-county-after-3-to-4-5-inches-of-rain/article_2edd4d9c-ded0-5dac-b819-43c88bbaaac5.html,journaltimes.com,English,0,1,0,0,CRST
20200521T073000Z,Shares in housebuilders recover from depths of covid slump,https://www.building.co.uk/news/shares-in-housebuilders-recover-from-depths-of-covid-slump/5106064.article,building.co.uk,English,0,0.784,0.216,0.296,CRST
20200521T104500Z,"Inside Track : Property & Real Estate - In the media , Published research , In practice and courts , recent Cases and Legislation - Real Estate and Construction",https://www.mondaq.com/australia/landlord-tenant--leases/938558/inside-track-property-real-estate--in-the-media-published-research-in-practice-and-courts-recent-cases-and-legislation,mondaq.com,English,0,1,0,0,CRST
20200523T054500Z,Opinion : Woman claims two - way bus route on  narrow  Bath street would be a  nightmare  ,https://www.somersetlive.co.uk/news/somerset-news/opinion-woman-claims-two-way-4148028,somersetlive.co.uk,English,0,1,0,0,CRST
20200526T100000Z,dpa - AFX Overview : Analyst recommendations on U . K . stocks,https://www.finanznachrichten.de/nachrichten-2020-05/49751354-dpa-afx-overview-analyst-recommendations-on-u-k-stocks-020.htm,finanznachrichten.de,English,0,1,0,0,CRST
20200527T183000Z,Plans for Ipswich garden suburb at Henley Gate move one step closer,https://www.ipswichstar.co.uk/news/ipswich-garden-suburb-at-henley-gate-latest-1-6672940,ipswichstar.co.uk,English,0,1,0,0,CRST
20200527T191500Z,Plans for Ipswich garden suburb at Henley Gate move one step closer,https://www.eadt.co.uk/news/ipswich-garden-suburb-at-henley-gate-latest-1-6672940,eadt.co.uk,English,0,1,0,0,CRST
20200528T103000Z,Ilke decides to speculate to accumulate,https://www.theconstructionindex.co.uk/news/view/ilke-decides-to-speculate-to-accumulate,theconstructionindex.co.uk,English,0,1,0,0,CRST
20200529T014500Z,Live coronavirus updates : Latinos make up one - third of cases in Milwaukee County,https://www.msn.com/en-us/news/us/live-coronavirus-updates-latinos-make-up-one-third-of-cases-in-milwaukee-county/ar-BB14CeRL,msn.com,English,0,1,0,0,CRST
20200529T194500Z,Live coronavirus updates : Sobelman in Waukesha closes again after employee tests positive,https://www.msn.com/en-us/money/other/live-coronavirus-updates-sobelman-s-in-waukesha-closes-again-after-employee-tests-positive/ar-BB14CeRL,msn.com,English,0,0.753,0.247,0.5574,CRST
20200529T201500Z,Live coronavirus updates : Wisconsin has highest single - day case count yet by far ( but also highest test volume ) ,https://www.msn.com/en-us/news/us/live-coronavirus-updates-wisconsin-has-highest-single-day-case-count-yet-by-far-but-also-highest-test-volume/ar-BB14CeRL,msn.com,English,0,1,0,0,CRST
20200530T151500Z,Live coronavirus updates : Surge of coronavirus cases hits predominantly Latino neighborhoods on Milwaukee south side,https://www.msn.com/en-us/news/us/live-coronavirus-updates-surge-of-coronavirus-cases-hits-predominantly-latino-neighborhoods-on-milwaukee-s-south-side/ar-BB14CeRL,msn.com,English,0,1,0,0,CRST
20200531T044500Z,Planning applications approved and refused in Swindon this week,https://www.swindonadvertiser.co.uk/news/18486378.planning-applications-approved-refused-swindon-week/,swindonadvertiser.co.uk,English,0.183,0.583,0.233,0.1531,CRST
20200531T070000Z,Planning applications approved and refused in Swindon this week,https://www.thisiswiltshire.co.uk/news/18486378.planning-applications-approved-refused-swindon-week/,thisiswiltshire.co.uk,English,0.183,0.583,0.233,0.1531,CRST
