Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual,Feature_Set
LSTM,30-day,LLOY,166,0.7349397590361446,0.4223174366616989,0.7349397590361446,1.0,0.8472222222222222,0.7349397590361446,With Behavioral
LSTM,30-day,RR,165,0.5575757575757576,0.5088112305854241,0.5609756097560976,0.989247311827957,0.7159533073929961,0.5636363636363636,With Behavioral
LSTM,30-day,SBRY,166,0.4036144578313253,0.4797225991255842,0.4036144578313253,1.0,0.575107296137339,0.4036144578313253,With Behavioral
Logistic Regression,30-day,ASC,166,0.5,0.4266744491463592,0.51875,0.9325842696629212,0.6666666666666666,0.536144578313253,With Behavioral
Logistic Regression,30-day,CPI,166,0.5301204819277109,0.4699548959697366,0.5276073619631901,0.9885057471264368,0.688,0.5240963855421686,With Behavioral
Logistic Regression,30-day,CRST,166,0.3614457831325301,0.5583126550868486,0.3552631578947368,0.8709677419354839,0.5046728971962616,0.3734939759036144,With Behavioral
Logistic Regression,30-day,LLOY,166,0.7289156626506024,0.6099105812220567,0.7333333333333333,0.9918032786885246,0.8432055749128919,0.7349397590361446,With Behavioral
Logistic Regression,30-day,RR,165,0.5515151515151515,0.5037335722819595,0.558282208588957,0.978494623655914,0.7109375,0.5636363636363636,With Behavioral
Logistic Regression,30-day,SBRY,166,0.3674698795180723,0.4471581486506859,0.38125,0.9104477611940298,0.5374449339207048,0.4036144578313253,With Behavioral
Random Forest,30-day,ASC,166,0.4457831325301205,0.4382752079381292,0.4835164835164835,0.4943820224719101,0.4888888888888889,0.536144578313253,With Behavioral
Random Forest,30-day,CPI,166,0.6746987951807228,0.6444783937145351,0.6513761467889908,0.8160919540229885,0.7244897959183674,0.5240963855421686,With Behavioral
Random Forest,30-day,CRST,166,0.3855421686746988,0.3747673697270471,0.34375,0.7096774193548387,0.4631578947368421,0.3734939759036144,With Behavioral
Random Forest,30-day,LLOY,166,0.6927710843373494,0.6841467958271237,0.7709923664122137,0.8278688524590164,0.7984189723320159,0.7349397590361446,With Behavioral
Random Forest,30-day,RR,165,0.4606060606060606,0.4289127837514934,0.5188679245283019,0.5913978494623656,0.5527638190954773,0.5636363636363636,With Behavioral
